RearingCondition;Stage;Mean_MinDelay;StdDev_MinDelay
6;Egg;7.8080468;0.828759216
9;Egg;4.5985198;0.530552803
13;Egg;2.6324676;0.600073805
18;Egg;1.276608367;0.2978997
20;Egg;1.193264533;0.277379534
24;Egg;0.702447167;0.206090148
25;Egg;0.645382233;0.206742108
26;Egg;0.629106567;0.186345343
27;Egg;0.6388494;0.214389686
28;Egg;0.7872991;0.284496498
29;Egg;0.868979633;0.104994144
31;Egg;1.037620342;0.109473199
32;Egg;1.5238125;0.045602126
33;Egg;1.666666667;0
6;L1;6;0
9;L1;5.1591377;0.365804464
13;L1;4.1531593;0.360141003
18;L1;1.8416199;0.226566557
20;L1;1.488555833;0.167620704
24;L1;1.1701413;0.172171803
25;L1;1.148860333;0.165712749
26;L1;1.0868949;0.146336069
27;L1;1;0
28;L1;0.704072567;0.105211373
29;L1;0.877952533;0.082436305
31;L1;0.981747667;0.225875855
32;L1;1.687485917;0.036076259
33;L1;;
6;L2;;
9;L2;5.4667075;0.498890403
13;L2;4.2154144;0.411109539
18;L2;2.6405439;0.26565633
20;L2;2.235142533;0.23280477
24;L2;1.427962533;0.240060197
25;L2;1.3335816;0.00909362
26;L2;1.0698883;0.13627943
27;L2;1.098539867;0.152106933
28;L2;0.993435533;0.146870839
29;L2;1.14037185;0.143199836
31;L2;1.437519583;0.191619399
32;L2;;
33;L2;;
6;L3;;
9;L3;6.9044957;0.749844174
13;L3;6.1798235;0.384040393
18;L3;2.7081998;0.110088046
20;L3;2.220342833;0.171772993
24;L3;1.9237464;0.141026993
25;L3;1.641481733;0.105728101
26;L3;1.343393467;0.057027816
27;L3;1.342891933;0.055631228
28;L3;1.165424467;0.192535926
29;L3;1.577422467;0.191544711
31;L3;;
32;L3;;
33;L3;;
6;NotAvailable-1;;
9;NotAvailable-1;;
13;NotAvailable-1;;
18;NotAvailable-1;;
20;NotAvailable-1;;
24;NotAvailable-1;;
25;NotAvailable-1;;
26;NotAvailable-1;;
27;NotAvailable-1;;
28;NotAvailable-1;;
29;NotAvailable-1;;
31;NotAvailable-1;;
32;NotAvailable-1;;
33;NotAvailable-1;;
6;NotAvailable-2;;
9;NotAvailable-2;;
13;NotAvailable-2;;
18;NotAvailable-2;;
20;NotAvailable-2;;
24;NotAvailable-2;;
25;NotAvailable-2;;
26;NotAvailable-2;;
27;NotAvailable-2;;
28;NotAvailable-2;;
29;NotAvailable-2;;
31;NotAvailable-2;;
32;NotAvailable-2;;
33;NotAvailable-2;;
6;NotAvailable-3;;
9;NotAvailable-3;;
13;NotAvailable-3;;
18;NotAvailable-3;;
20;NotAvailable-3;;
24;NotAvailable-3;;
25;NotAvailable-3;;
26;NotAvailable-3;;
27;NotAvailable-3;;
28;NotAvailable-3;;
29;NotAvailable-3;;
31;NotAvailable-3;;
32;NotAvailable-3;;
33;NotAvailable-3;;
6;Pupa;;
9;Pupa;;
13;Pupa;12.4205394;0.527543971
18;Pupa;5.366220133;0.248239933
20;Pupa;5.061901933;0.200285516
24;Pupa;4.375809667;0.278690095
25;Pupa;4.480176767;0.180039065
26;Pupa;4.214439233;0.189066969
27;Pupa;4.7281311;0.151990655
28;Pupa;4.6012462;0.343403354
29;Pupa;4.67041765;0.390772502
31;Pupa;;
32;Pupa;;
33;Pupa;;
